NAME                               READY   STATUS             RESTARTS         AGE
accounting-5968c4549c-9zkkb        1/1     Running            0                8h
ad-6766d6dbf5-vhc5c                1/1     Running            0                68m
cart-659bfb45b5-wd6q5              1/1     Running            0                49m
checkout-598658964d-jxjzw          1/1     Running            0                41m
currency-74755d5fb5-8fmsz          1/1     Running            0                8h
email-cc5fbdd78-pwgzt              1/1     Running            0                8h
flagd-5f4755df9d-ml4xg             1/2     CrashLoopBackOff   14 (2m42s ago)   49m
fraud-detection-7848d86556-wnqgh   1/1     Running            0                8h
frontend-6f7b4557b9-kxqs6          1/1     Running            0                8h
frontend-proxy-77644c45c8-9xb5m    1/1     Running            0                8h
image-provider-dd55595f5-mw2pp     1/1     Running            0                8h
kafka-bb4bbc759-qj6wv              1/1     Running            0                8h
llm-5fddbb8c4d-hs4rs               1/1     Running            0                8h
load-generator-7587c94976-7skg7    1/1     Running            0                8h
otel-collector-d4cff88b4-t64z7     1/1     Running            0                8h
payment-6bb67944bf-g2hvp           1/1     Running            0                8h
postgresql-7bb76c85c-s6lkx         1/1     Running            0                8h
product-catalog-54b9896767-jhpzz   1/1     Running            4 (8h ago)       8h
product-reviews-f6c767477-m96lg    1/1     Running            0                8h
quote-654d8b4f44-6pp4j             1/1     Running            0                8h
recommendation-5d9d87b775-bpq99    1/1     Running            0                8h
shipping-86d558f58f-v9l96          1/1     Running            0                18m
valkey-cart-89745f57d-w9kfc        1/1     Running            0                8h
