NAME                               READY   STATUS             RESTARTS        AGE
accounting-5968c4549c-llgzk        1/1     Running            0               3m42s
ad-6766d6dbf5-pm4gh                1/1     Running            0               3m42s
cart-659bfb45b5-vqnbf              1/1     Running            0               3m42s
checkout-598658964d-4bd8x          1/1     Running            0               3m42s
currency-74755d5fb5-sx4lv          1/1     Running            0               3m42s
email-cc5fbdd78-9fqxn              1/1     Running            0               3m42s
flagd-5f4755df9d-bhb95             1/2     OOMKilled          5 (2m4s ago)    3m42s
fraud-detection-7848d86556-mk5t4   1/1     Running            0               3m42s
frontend-6f7b4557b9-5kzmz          1/1     Running            0               3m42s
frontend-proxy-77644c45c8-dsh99    1/1     Running            0               3m42s
image-provider-dd55595f5-n9gvx     1/1     Running            0               3m41s
kafka-bb4bbc759-ldh7z              1/1     Running            0               3m41s
llm-5fddbb8c4d-zgqzf               1/1     Running            0               3m41s
load-generator-7587c94976-8lfbc    1/1     Running            0               3m41s
otel-collector-d4cff88b4-zmh8j     1/1     Running            0               3m41s
payment-6bb67944bf-vp9jc           1/1     Running            0               3m40s
postgresql-7bb76c85c-pqscg         1/1     Running            0               3m40s
product-catalog-54b9896767-rrqdh   1/1     Running            2 (3m38s ago)   3m40s
product-catalog-586cfcf6d8-pnj8r   0/1     ImagePullBackOff   0               2m11s
product-reviews-f6c767477-zcfnw    1/1     Running            0               3m40s
quote-654d8b4f44-5ck2k             1/1     Running            0               3m40s
recommendation-5d9d87b775-n77qp    1/1     Running            0               3m39s
shipping-86d558f58f-wv4x6          1/1     Running            0               3m39s
valkey-cart-89745f57d-rj5lq        1/1     Running            0               3m39s
