NAME                               READY   STATUS      RESTARTS       AGE
accounting-5968c4549c-5w274        1/1     Running     0              83m
ad-87f5d9599-vjgpn                 1/1     Running     0              50m
cart-659bfb45b5-2bbrq              1/1     Running     0              84m
checkout-598658964d-rs4tj          1/1     Running     5 (5m7s ago)   70m
currency-74755d5fb5-46vbt          1/1     Running     0              136m
email-cc5fbdd78-vk9nx              1/1     Running     0              136m
flagd-bdbff8675-gnmk7              1/2     OOMKilled   4 (101s ago)   2m21s
fraud-detection-7848d86556-mwlm8   1/1     Running     0              136m
frontend-6f7b4557b9-pdx5z          1/1     Running     0              136m
frontend-proxy-77644c45c8-zhd8k    1/1     Running     0              136m
image-provider-dd55595f5-2nw59     1/1     Running     0              136m
kafka-bb4bbc759-pz7kj              1/1     Running     0              136m
llm-5fddbb8c4d-xkv6m               1/1     Running     0              136m
load-generator-7587c94976-wb87r    1/1     Running     0              136m
otel-collector-d4cff88b4-xlswr     1/1     Running     0              136m
payment-6bb67944bf-md9jl           1/1     Running     0              76m
postgresql-7bb76c85c-l9rtg         1/1     Running     0              136m
product-catalog-649b96588b-qc7nv   1/1     Running     0              2m20s
product-reviews-f6c767477-lnsxd    1/1     Running     0              136m
quote-654d8b4f44-zr4bl             1/1     Running     0              136m
recommendation-5d9d87b775-ps975    1/1     Running     0              136m
shipping-86d558f58f-ncns2          1/1     Running     0              136m
valkey-cart-89745f57d-khtl5        1/1     Running     0              84m
