NAME                               READY   STATUS             RESTARTS      AGE
accounting-5968c4549c-q5lqq        1/1     Running            0             4m10s
ad-6766d6dbf5-5d75b                1/1     Running            0             4m10s
cart-659bfb45b5-hz7vv              1/1     Running            0             4m10s
checkout-598658964d-jns4v          1/1     Running            0             4m10s
currency-74755d5fb5-wkw97          1/1     Running            0             4m10s
email-cc5fbdd78-nflfp              1/1     Running            0             4m10s
flagd-5f4755df9d-9ktlw             1/2     CrashLoopBackOff   4 (72s ago)   4m10s
fraud-detection-7848d86556-cktkh   1/1     Running            0             4m10s
frontend-b69899666-ncmtm           1/1     Running            0             2m37s
frontend-proxy-77644c45c8-bbk4s    1/1     Running            0             4m10s
image-provider-dd55595f5-5g6dj     1/1     Running            0             4m10s
kafka-bb4bbc759-kpqjk              1/1     Running            0             4m10s
llm-5fddbb8c4d-cm8cv               1/1     Running            0             4m9s
load-generator-7587c94976-fjbt2    1/1     Running            0             4m9s
otel-collector-d4cff88b4-68cnq     1/1     Running            0             4m9s
payment-6bb67944bf-g7xj7           1/1     Running            0             4m9s
postgresql-7bb76c85c-df7cq         1/1     Running            0             4m8s
product-catalog-54b9896767-rmzkq   1/1     Running            0             4m8s
product-reviews-f6c767477-rw7lv    1/1     Running            0             4m8s
quote-654d8b4f44-hxjqn             1/1     Running            0             4m8s
recommendation-5d9d87b775-7qqd8    1/1     Running            0             4m8s
shipping-86d558f58f-q7b94          1/1     Running            0             4m7s
valkey-cart-89745f57d-dgdkz        1/1     Running            0             4m7s
