scen	strength	rci_service	arm	seed	rci	rcr	caught	tokens	cost_usd
401	strong	recommendation	code	1	YES	YES	YES	445251	0.7112
401	strong	recommendation	code	2	YES	YES	YES	197151	0.3927
405	weak	recommendation	code	1	YES	YES	YES	195057	0.4242
405	weak	recommendation	code	2	YES	YES	YES	122555	0.3218
406	weak	recommendation	code	1	YES	YES	YES	186987	0.3795
406	weak	recommendation	code	2	YES	YES	YES	228816	0.4602
407	weak	recommendation	code	1	YES	YES	YES	335790	0.5216
407	weak	recommendation	code	2	YES	YES	YES	249675	0.5461
408	weak	recommendation	code	1	YES	YES	YES	211908	0.4361
408	weak	recommendation	code	2	YES	YES	YES	318092	0.6812
409	weak	recommendation	code	1	YES	YES	YES	266365	0.566
409	weak	recommendation	code	2	YES	YES	YES	873999	1.1591
410	weak	recommendation	code	1	YES	YES	YES	127837	0.2448
410	weak	recommendation	code	2	YES	YES	YES	266943	0.578
413	strong	recommendation	code	1	YES	YES	YES	352732	0.6177
413	strong	recommendation	code	2	YES	NO	NO	263758	0.5509
414	strong	recommendation	code	1	YES	NO	NO	315632	0.5667
414	strong	recommendation	code	2	YES	YES	YES	315946	0.5995
415	weak	recommendation	code	1	YES	YES	YES	168428	0.3339
415	weak	recommendation	code	2	YES	YES	YES	300843	0.5236
416	weak	recommendation	code	1	YES	YES	YES	241481	0.5307
416	weak	recommendation	code	2	YES	YES	YES	451923	0.8041
20	weak	product-catalog	code	1	NO	NO	NO	2678516	2.6381
20	weak	product-catalog	code	2	NO	NO	NO	698915	1.1685
32	strong	ad	code	1	NO	YES	NO	1886704	2.4558
32	strong	ad	code	2	NO	NO	NO	906861	1.3094
