scen	strength	rci_service	arm	seed	rci	rcr	caught	tokens	cost_usd	neat_hits
401	strong	recommendation	divergences	0	-	-	YES	0	0	0
401	strong	recommendation	neatquery	0	YES	YES	YES	0	0	0
401	strong	recommendation	neat	1	YES	YES	YES	127834	0.315	5
401	strong	recommendation	neat	2	YES	YES	YES	91568	0.2386	5
405	weak	recommendation	divergences	0	-	-	NO	0	0	0
405	weak	recommendation	neatquery	0	YES	NO	NO	0	0	0
405	weak	recommendation	neat	1	YES	YES	YES	291123	0.5542	12
405	weak	recommendation	neat	2	YES	YES	YES	794965	0.8801	15
406	weak	recommendation	divergences	0	-	-	NO	0	0	0
406	weak	recommendation	neatquery	0	YES	NO	NO	0	0	0
406	weak	recommendation	neat	1	YES	YES	YES	295375	0.5703	10
406	weak	recommendation	neat	2	YES	YES	YES	280970	0.4984	6
407	weak	recommendation	divergences	0	-	-	NO	0	0	0
407	weak	recommendation	neatquery	0	YES	YES	YES	0	0	0
407	weak	recommendation	neat	1	YES	YES	YES	259067	0.4422	8
407	weak	recommendation	neat	2	YES	YES	YES	147420	0.321	6
408	weak	recommendation	divergences	0	-	-	NO	0	0	0
408	weak	recommendation	neatquery	0	YES	YES	YES	0	0	0
408	weak	recommendation	neat	1	YES	YES	YES	178378	0.3896	7
408	weak	recommendation	neat	2	YES	YES	YES	208770	0.4038	5
409	weak	recommendation	divergences	0	-	-	NO	0	0	0
409	weak	recommendation	neatquery	0	YES	NO	NO	0	0	0
409	weak	recommendation	neat	1	YES	YES	YES	257804	0.4798	8
409	weak	recommendation	neat	2	YES	YES	YES	423503	0.6711	13
410	weak	recommendation	divergences	0	-	-	NO	0	0	0
410	weak	recommendation	neatquery	0	YES	NO	NO	0	0	0
410	weak	recommendation	neat	1	YES	YES	YES	240018	0.4575	5
410	weak	recommendation	neat	2	YES	YES	YES	436920	0.691	9
413	strong	recommendation	divergences	0	-	-	NO	0	0	0
413	strong	recommendation	neatquery	0	YES	NO	NO	0	0	0
413	strong	recommendation	neat	1	YES	YES	YES	322502	0.5139	9
413	strong	recommendation	neat	2	YES	YES	YES	324623	0.4792	6
414	strong	recommendation	divergences	0	-	-	NO	0	0	0
414	strong	recommendation	neatquery	0	YES	NO	NO	0	0	0
414	strong	recommendation	neat	1	YES	YES	YES	306746	0.6318	7
414	strong	recommendation	neat	2	YES	NO	NO	269953	0.5672	10
415	weak	recommendation	divergences	0	-	-	NO	0	0	0
415	weak	recommendation	neatquery	0	YES	YES	YES	0	0	0
415	weak	recommendation	neat	1	YES	YES	YES	288825	0.5552	9
415	weak	recommendation	neat	2	YES	YES	YES	180992	0.3598	7
416	weak	recommendation	divergences	0	-	-	NO	0	0	0
416	weak	recommendation	neatquery	0	YES	NO	NO	0	0	0
416	weak	recommendation	neat	1	YES	YES	YES	271720	0.4973	6
416	weak	recommendation	neat	2	YES	YES	YES	306677	0.4899	8
20	weak	product-catalog	divergences	0	-	-	NO	0	0	0
20	weak	product-catalog	neatquery	0	YES	NO	NO	0	0	0
20	weak	product-catalog	neat	1	YES	YES	YES	1272142	1.518	19
20	weak	product-catalog	neat	2	YES	YES	YES	1436252	1.7335	21
32	strong	ad	divergences	0	-	-	NO	0	0	0
32	strong	ad	neatquery	0	YES	NO	NO	0	0	0
32	strong	ad	neat	1	YES	YES	YES	1429211	2.001	33
32	strong	ad	neat	2	YES	YES	YES	975534	1.3406	19
401	strong	recommendation	code	1	YES	YES	YES	445251	0.7112	0
401	strong	recommendation	code	2	YES	YES	YES	197151	0.3927	0
405	weak	recommendation	code	1	YES	YES	YES	195057	0.4242	0
405	weak	recommendation	code	2	YES	YES	YES	122555	0.3218	0
406	weak	recommendation	code	1	YES	YES	YES	186987	0.3795	0
406	weak	recommendation	code	2	YES	YES	YES	228816	0.4602	0
407	weak	recommendation	code	1	YES	YES	YES	335790	0.5216	0
407	weak	recommendation	code	2	YES	YES	YES	249675	0.5461	0
408	weak	recommendation	code	1	YES	YES	YES	211908	0.4361	0
408	weak	recommendation	code	2	YES	YES	YES	318092	0.6812	0
409	weak	recommendation	code	1	YES	YES	YES	266365	0.566	0
409	weak	recommendation	code	2	YES	YES	YES	873999	1.1591	0
410	weak	recommendation	code	1	YES	YES	YES	127837	0.2448	0
410	weak	recommendation	code	2	YES	YES	YES	266943	0.578	0
413	strong	recommendation	code	1	YES	YES	YES	352732	0.6177	0
413	strong	recommendation	code	2	YES	NO	NO	263758	0.5509	0
414	strong	recommendation	code	1	YES	NO	NO	315632	0.5667	0
414	strong	recommendation	code	2	YES	YES	YES	315946	0.5995	0
415	weak	recommendation	code	1	YES	YES	YES	168428	0.3339	0
415	weak	recommendation	code	2	YES	YES	YES	300843	0.5236	0
416	weak	recommendation	code	1	YES	YES	YES	241481	0.5307	0
416	weak	recommendation	code	2	YES	YES	YES	451923	0.8041	0
20	weak	product-catalog	code	1	NO	NO	NO	2678516	2.6381	0
20	weak	product-catalog	code	2	NO	NO	NO	698915	1.1685	0
32	strong	ad	code	1	NO	YES	NO	1886704	2.4558	0
32	strong	ad	code	2	NO	NO	NO	906861	1.3094	0
