scen	strength	rci_service	arm	seed	rci	rcr	caught	tokens	cost_usd	neat_hits
401	strong	recommendation	divergences	0	-	-	YES	0	0	0
401	strong	recommendation	neatquery	0	YES	YES	YES	0	0	0
401	strong	recommendation	neat	1	YES	YES	YES	127834	0.315	5
401	strong	recommendation	code	1	YES	YES	YES	327139	0.5071	0
401	strong	recommendation	neat	2	YES	YES	YES	91568	0.2386	5
401	strong	recommendation	code	2	YES	YES	YES	192594	0.3826	0
405	weak	recommendation	divergences	0	-	-	NO	0	0	0
405	weak	recommendation	neatquery	0	YES	NO	NO	0	0	0
405	weak	recommendation	neat	1	YES	YES	YES	291123	0.5542	12
405	weak	recommendation	code	1	YES	YES	YES	141218	0.3326	0
405	weak	recommendation	neat	2	YES	YES	YES	794965	0.8801	15
405	weak	recommendation	code	2	YES	YES	YES	191612	0.376	0
406	weak	recommendation	divergences	0	-	-	NO	0	0	0
406	weak	recommendation	neatquery	0	YES	NO	NO	0	0	0
406	weak	recommendation	neat	1	YES	YES	YES	295375	0.5703	10
406	weak	recommendation	code	1	YES	YES	YES	234400	0.4513	0
406	weak	recommendation	neat	2	YES	YES	YES	280970	0.4984	6
406	weak	recommendation	code	2	YES	YES	YES	228785	0.5571	1
407	weak	recommendation	divergences	0	-	-	NO	0	0	0
407	weak	recommendation	neatquery	0	YES	YES	YES	0	0	0
407	weak	recommendation	neat	1	YES	YES	YES	259067	0.4422	8
407	weak	recommendation	code	1	YES	YES	YES	164127	0.3445	0
407	weak	recommendation	neat	2	YES	YES	YES	147420	0.321	6
407	weak	recommendation	code	2	YES	YES	YES	168361	0.363	0
408	weak	recommendation	divergences	0	-	-	NO	0	0	0
408	weak	recommendation	neatquery	0	YES	YES	YES	0	0	0
408	weak	recommendation	neat	1	YES	YES	YES	178378	0.3896	7
408	weak	recommendation	code	1	YES	YES	YES	254526	0.4998	0
408	weak	recommendation	neat	2	YES	YES	YES	208770	0.4038	5
408	weak	recommendation	code	2	YES	YES	YES	141309	0.3158	0
409	weak	recommendation	divergences	0	-	-	NO	0	0	0
409	weak	recommendation	neatquery	0	YES	NO	NO	0	0	0
409	weak	recommendation	neat	1	YES	YES	YES	257804	0.4798	8
409	weak	recommendation	code	1	YES	YES	YES	201785	0.3933	0
409	weak	recommendation	neat	2	YES	YES	YES	423503	0.6711	13
409	weak	recommendation	code	2	YES	YES	YES	274418	0.492	1
410	weak	recommendation	divergences	0	-	-	NO	0	0	0
410	weak	recommendation	neatquery	0	YES	NO	NO	0	0	0
410	weak	recommendation	neat	1	YES	YES	YES	240018	0.4575	5
410	weak	recommendation	code	1	YES	YES	YES	228420	0.3782	0
410	weak	recommendation	neat	2	YES	YES	YES	436920	0.691	9
410	weak	recommendation	code	2	YES	YES	YES	170385	0.375	0
413	strong	recommendation	divergences	0	-	-	NO	0	0	0
413	strong	recommendation	neatquery	0	YES	NO	NO	0	0	0
413	strong	recommendation	neat	1	YES	YES	YES	322502	0.5139	9
413	strong	recommendation	code	1	YES	NO	NO	170686	0.3746	0
413	strong	recommendation	neat	2	YES	YES	YES	324623	0.4792	6
413	strong	recommendation	code	2	YES	NO	NO	206520	0.4075	1
414	strong	recommendation	divergences	0	-	-	NO	0	0	0
414	strong	recommendation	neatquery	0	YES	NO	NO	0	0	0
414	strong	recommendation	neat	1	YES	YES	YES	306746	0.6318	7
414	strong	recommendation	code	1	YES	NO	NO	273273	0.5647	0
414	strong	recommendation	neat	2	YES	NO	NO	269953	0.5672	10
414	strong	recommendation	code	2	YES	NO	NO	228741	0.5233	0
415	weak	recommendation	divergences	0	-	-	NO	0	0	0
415	weak	recommendation	neatquery	0	YES	YES	YES	0	0	0
415	weak	recommendation	neat	1	YES	YES	YES	288825	0.5552	9
415	weak	recommendation	code	1	YES	YES	YES	476113	0.7117	1
415	weak	recommendation	neat	2	YES	YES	YES	180992	0.3598	7
415	weak	recommendation	code	2	YES	YES	YES	336413	0.5549	0
416	weak	recommendation	divergences	0	-	-	NO	0	0	0
416	weak	recommendation	neatquery	0	YES	NO	NO	0	0	0
416	weak	recommendation	neat	1	YES	YES	YES	271720	0.4973	6
416	weak	recommendation	code	1	YES	YES	YES	402267	0.6162	1
416	weak	recommendation	neat	2	YES	YES	YES	306677	0.4899	8
416	weak	recommendation	code	2	YES	YES	YES	324712	0.5473	0
20	weak	product-catalog	divergences	0	-	-	NO	0	0	0
20	weak	product-catalog	neatquery	0	YES	NO	NO	0	0	0
20	weak	product-catalog	neat	1	YES	YES	YES	1272142	1.518	19
20	weak	product-catalog	code	1	YES	YES	YES	696784	1.1104	4
20	weak	product-catalog	neat	2	YES	YES	YES	1436252	1.7335	21
20	weak	product-catalog	code	2	YES	YES	YES	355844	0.63	0
32	strong	ad	divergences	0	-	-	NO	0	0	0
32	strong	ad	neatquery	0	YES	NO	NO	0	0	0
32	strong	ad	neat	1	YES	YES	YES	1429211	2.001	33
32	strong	ad	code	1	YES	NO	NO	631568	1.0262	3
32	strong	ad	neat	2	YES	YES	YES	975534	1.3406	19
32	strong	ad	code	2	YES	NO	NO	620431	1.097	1
