scen	arm	rci	rcr	fired_or_caught
401	divergences	-	-	YES
401	neatquery	YES	YES	YES
401	neat-s1	YES	YES	YES
401	neat-s2	YES	YES	YES
405	divergences	-	-	NO
405	neatquery	YES	NO	NO
405	neat-s1	YES	YES	YES
405	neat-s2	YES	YES	YES
406	divergences	-	-	NO
406	neatquery	YES	NO	NO
406	neat-s1	YES	YES	YES
406	neat-s2	YES	YES	YES
407	divergences	-	-	NO
407	neatquery	YES	YES	YES
407	neat-s1	YES	YES	YES
407	neat-s2	YES	YES	YES
408	divergences	-	-	NO
408	neatquery	YES	YES	YES
408	neat-s1	YES	YES	YES
408	neat-s2	YES	YES	YES
409	divergences	-	-	NO
409	neatquery	YES	NO	NO
409	neat-s1	YES	YES	YES
409	neat-s2	YES	YES	YES
410	divergences	-	-	NO
410	neatquery	YES	NO	NO
410	neat-s1	YES	YES	YES
410	neat-s2	YES	YES	YES
413	divergences	-	-	NO
413	neatquery	YES	NO	NO
413	neat-s1	YES	YES	YES
413	neat-s2	YES	YES	YES
414	divergences	-	-	NO
414	neatquery	YES	NO	NO
414	neat-s1	YES	YES	YES
414	neat-s2	YES	NO	NO
415	divergences	-	-	NO
415	neatquery	YES	YES	YES
415	neat-s1	YES	YES	YES
415	neat-s2	YES	YES	YES
416	divergences	-	-	NO
416	neatquery	YES	NO	NO
416	neat-s1	YES	YES	YES
416	neat-s2	YES	YES	YES
20	divergences	-	-	NO
20	neatquery	YES	NO	NO
20	neat-s1	YES	YES	YES
20	neat-s2	YES	YES	YES
32	divergences	-	-	NO
32	neatquery	YES	NO	NO
32	neat-s1	YES	YES	YES
32	neat-s2	YES	YES	YES
