scen	box	mode	arm	model	seed	rci	rcr	caught	resolved	tokens	cost_usd	neat_hits	obs_hits
401	fusion	resolve	obscode	opus	1	VOID	VOID	VOID	VOID	0	0	0	0
401	fusion	resolve	obscode	opus	2	VOID	VOID	VOID	VOID	0	0	0	0
401	fusion	resolve	obscode	opus	3	VOID	VOID	VOID	VOID	0	0	0	0
401	fusion	resolve	obscode	opus	4	VOID	VOID	VOID	VOID	0	0	0	0
401	fusion	resolve	obscode	opus	5	VOID	VOID	VOID	VOID	0	0	0	0
401	fusion	resolve	neat	haiku	1	VOID	VOID	VOID	VOID	0	0	0	0
401	fusion	resolve	neat	haiku	2	VOID	VOID	VOID	VOID	0	0	0	0
401	fusion	resolve	neat	haiku	3	VOID	VOID	VOID	VOID	0	0	0	0
401	fusion	resolve	neat	haiku	4	VOID	VOID	VOID	VOID	0	0	0	0
401	fusion	resolve	neat	haiku	5	VOID	VOID	VOID	VOID	0	0	0	0
413	fusion	detect	obscode	opus	1	YES	YES	YES	-	447759	0.7546	0	6
413	fusion	detect	neat	haiku	1	YES	YES	YES	-	1366927	0.2551	18	0
413	fusion	detect	neat	haiku	2	YES	NO	NO	-	332891	0.1475	9	0
413	fusion	detect	obscode	opus	2	YES	YES	YES	-	430254	0.6363	0	5
413	fusion	detect	obscode	opus	3	YES	YES	YES	-	339103	0.5407	0	4
413	fusion	detect	neat	haiku	3	YES	YES	YES	-	447468	0.1015	7	0
413	fusion	detect	neat	haiku	4	YES	YES	YES	-	257225	0.0815	7	0
413	fusion	detect	obscode	opus	4	YES	YES	YES	-	353658	0.6061	0	5
413	fusion	detect	obscode	opus	5	YES	YES	YES	-	388764	0.61	0	5
413	fusion	detect	neat	haiku	5	YES	NO	NO	-	311046	0.0775	8	0
412	strict-code	resolve	obscode	opus	1	VOID	VOID	VOID	VOID	0	0	0	0
412	strict-code	resolve	obscode	opus	2	VOID	VOID	VOID	VOID	0	0	0	0
412	strict-code	resolve	obscode	opus	3	VOID	VOID	VOID	VOID	0	0	0	0
412	strict-code	resolve	obscode	opus	4	VOID	VOID	VOID	VOID	0	0	0	0
412	strict-code	resolve	obscode	opus	5	VOID	VOID	VOID	VOID	0	0	0	0
412	strict-code	resolve	neat	haiku	1	VOID	VOID	VOID	VOID	0	0	0	0
412	strict-code	resolve	neat	haiku	2	VOID	VOID	VOID	VOID	0	0	0	0
412	strict-code	resolve	neat	haiku	3	VOID	VOID	VOID	VOID	0	0	0	0
412	strict-code	resolve	neat	haiku	4	VOID	VOID	VOID	VOID	0	0	0	0
412	strict-code	resolve	neat	haiku	5	VOID	VOID	VOID	VOID	0	0	0	0
405	both	resolve	obscode	opus	1	YES	NO	-	YES	214948	0.4728	0	4
405	both	resolve	neat	haiku	1	YES	YES	-	NO	441088	0.1191	12	0
405	both	resolve	neat	haiku	2	YES	YES	-	NO	313092	0.1067	5	0
405	both	resolve	obscode	opus	2	YES	YES	-	YES	391077	0.8669	0	8
405	both	resolve	obscode	opus	3	YES	NO	-	YES	297375	0.7388	0	6
405	both	resolve	neat	haiku	3	YES	YES	-	NO	290234	0.0948	6	0
405	both	resolve	neat	haiku	4	YES	YES	-	NO	275793	0.0951	3	0
405	both	resolve	obscode	opus	4	YES	YES	-	YES	526023	0.8889	0	5
405	both	resolve	obscode	opus	5	YES	YES	-	YES	549360	0.8814	0	9
405	both	resolve	neat	haiku	5	YES	YES	-	NO	317120	0.0964	4	0
410	both	resolve	obscode	opus	1	YES	YES	-	YES	336399	0.7251	0	8
410	both	resolve	neat	haiku	1	YES	NO	-	NO	273979	0.0891	8	0
410	both	resolve	neat	haiku	2	YES	YES	-	YES	371472	0.1051	9	0
410	both	resolve	obscode	opus	2	YES	YES	-	YES	536151	1.0786	0	10
410	both	resolve	obscode	opus	3	YES	YES	-	YES	453256	0.9102	0	9
410	both	resolve	neat	haiku	3	YES	YES	-	YES	535896	0.1275	10	0
410	both	resolve	neat	haiku	4	YES	NO	-	NO	484246	0.1268	13	0
410	both	resolve	obscode	opus	4	YES	YES	-	YES	378716	0.7803	0	11
410	both	resolve	obscode	opus	5	YES	YES	-	YES	642044	0.9494	0	17
410	both	resolve	neat	haiku	5	YES	NO	-	NO	482002	0.1257	8	0
407	both	detect	obscode	opus	1	YES	YES	YES	-	459662	0.7023	0	4
407	both	detect	neat	haiku	1	YES	YES	YES	-	586177	0.154	9	0
407	both	detect	neat	haiku	2	YES	YES	YES	-	597786	0.1427	6	0
407	both	detect	obscode	opus	2	YES	YES	YES	-	355504	0.6976	0	4
407	both	detect	obscode	opus	3	YES	YES	YES	-	385998	0.6909	0	6
407	both	detect	neat	haiku	3	YES	YES	YES	-	318860	0.0862	7	0
407	both	detect	neat	haiku	4	YES	YES	YES	-	275471	0.0777	5	0
407	both	detect	obscode	opus	4	YES	YES	YES	-	398492	0.7389	0	6
407	both	detect	obscode	opus	5	YES	YES	YES	-	692828	0.9455	0	13
407	both	detect	neat	haiku	5	YES	YES	YES	-	76984	0.0389	3	0
406	both	detect	obscode	opus	1	YES	YES	YES	-	487069	0.9157	0	7
406	both	detect	neat	haiku	1	YES	NO	NO	-	157106	0.0547	9	0
406	both	detect	neat	haiku	2	YES	NO	NO	-	164114	0.0611	9	0
406	both	detect	obscode	opus	2	YES	YES	YES	-	496209	0.8025	0	6
406	both	detect	obscode	opus	3	YES	YES	YES	-	425372	0.9141	0	5
406	both	detect	neat	haiku	3	YES	NO	NO	-	512869	0.1309	17	0
406	both	detect	neat	haiku	4	YES	NO	NO	-	185961	0.0608	7	0
406	both	detect	obscode	opus	4	YES	YES	YES	-	355561	0.722	0	4
406	both	detect	obscode	opus	5	YES	YES	YES	-	287335	0.5853	0	3
406	both	detect	neat	haiku	5	YES	NO	NO	-	1482959	0.2625	20	0
408	both	detect	obscode	opus	1	YES	YES	YES	-	358203	0.6867	0	4
408	both	detect	neat	haiku	1	YES	YES	YES	-	1458034	0.2728	8	0
408	both	detect	neat	haiku	2	YES	YES	YES	-	882570	0.1651	10	0
408	both	detect	obscode	opus	2	YES	YES	YES	-	458067	0.7039	0	4
408	both	detect	obscode	opus	3	YES	YES	YES	-	548776	0.9413	0	7
408	both	detect	neat	haiku	3	YES	YES	YES	-	106814	0.0471	4	0
408	both	detect	neat	haiku	4	YES	YES	YES	-	844001	0.1786	10	0
408	both	detect	obscode	opus	4	YES	YES	YES	-	455898	0.7287	0	3
408	both	detect	obscode	opus	5	YES	YES	YES	-	591369	0.9449	0	8
408	both	detect	neat	haiku	5	YES	YES	YES	-	437136	0.0994	10	0
409	both	detect	obscode	opus	1	YES	YES	YES	-	356121	0.6648	0	8
