scen	box	mode	arm	model	seed	rci	rcr	caught	resolved	tokens	cost_usd	neat_hits	obs_hits
401	fusion	resolve	obscode	opus	1	YES	YES	-	YES	277312	0.4466	0	4
401	fusion	resolve	neat	haiku	1	YES	YES	-	YES	218993	0.0772	4	0
401	fusion	resolve	neat	haiku	2	YES	YES	-	YES	476133	0.1187	2	0
401	fusion	resolve	obscode	opus	2	YES	YES	-	YES	295384	0.4921	0	4
401	fusion	resolve	obscode	opus	3	YES	YES	-	YES	180013	0.342	0	2
401	fusion	resolve	neat	haiku	3	YES	YES	-	YES	756523	0.1566	6	0
401	fusion	resolve	neat	haiku	4	YES	YES	-	YES	476793	0.1164	5	0
401	fusion	resolve	obscode	opus	4	YES	YES	-	YES	291967	0.5391	0	3
401	fusion	resolve	obscode	opus	5	YES	YES	-	YES	237123	0.3789	0	2
401	fusion	resolve	neat	haiku	5	YES	YES	-	YES	304824	0.0851	3	0
413	fusion	detect	obscode	opus	1	YES	YES	YES	-	325329	0.5114	0	5
413	fusion	detect	neat	haiku	1	YES	YES	YES	-	153670	0.051	5	0
413	fusion	detect	neat	haiku	2	YES	YES	YES	-	246095	0.07	6	0
413	fusion	detect	obscode	opus	2	YES	YES	YES	-	360513	0.5874	0	4
413	fusion	detect	obscode	opus	3	YES	YES	YES	-	472044	0.7274	0	6
413	fusion	detect	neat	haiku	3	NO	NO	NO	-	1122255	0.2679	9	0
413	fusion	detect	neat	haiku	4	YES	YES	YES	-	594211	0.1282	13	0
413	fusion	detect	obscode	opus	4	YES	YES	YES	-	425540	0.7114	0	5
413	fusion	detect	obscode	opus	5	YES	YES	YES	-	356007	0.5735	0	6
413	fusion	detect	neat	haiku	5	YES	YES	YES	-	844293	0.1772	9	0
405	both	resolve	obscode	opus	1	YES	NO	-	YES	208007	0.4993	0	5
405	both	resolve	neat	haiku	1	YES	YES	-	YES	745648	0.1519	16	0
405	both	resolve	neat	haiku	2	YES	YES	-	NO	618343	0.1412	10	0
405	both	resolve	obscode	opus	2	YES	NO	-	YES	397958	0.8369	0	8
405	both	resolve	obscode	opus	3	YES	YES	-	YES	983536	1.2956	0	13
405	both	resolve	neat	haiku	3	YES	YES	-	YES	641886	0.1521	9	0
405	both	resolve	neat	haiku	4	YES	YES	-	NO	507175	0.1242	5	0
405	both	resolve	obscode	opus	4	YES	NO	-	YES	239830	0.619	0	5
405	both	resolve	obscode	opus	5	YES	YES	-	YES	728769	1.0752	0	9
405	both	resolve	neat	haiku	5	YES	YES	-	YES	602300	0.1367	8	0
410	both	resolve	obscode	opus	1	YES	YES	-	YES	452676	0.8295	0	5
410	both	resolve	neat	haiku	1	YES	YES	-	YES	759213	0.1557	17	0
410	both	resolve	neat	haiku	2	YES	YES	-	NO	405216	0.1011	7	0
410	both	resolve	obscode	opus	2	YES	YES	-	YES	433164	0.9582	0	8
410	both	resolve	obscode	opus	3	YES	YES	-	YES	520358	0.8624	0	4
410	both	resolve	neat	haiku	3	YES	YES	-	YES	413859	0.1065	14	0
410	both	resolve	neat	haiku	4	YES	NO	-	YES	514222	0.1254	13	0
410	both	resolve	obscode	opus	4	YES	YES	-	YES	758351	1.2803	0	13
410	both	resolve	obscode	opus	5	YES	YES	-	YES	966869	1.3968	0	14
410	both	resolve	neat	haiku	5	YES	YES	-	YES	507240	0.1295	14	0
407	both	detect	obscode	opus	1	YES	YES	YES	-	341869	0.638	0	4
407	both	detect	neat	haiku	1	YES	YES	YES	-	123026	0.0451	4	0
407	both	detect	neat	haiku	2	YES	YES	YES	-	452648	0.1105	6	0
407	both	detect	obscode	opus	2	YES	YES	YES	-	443260	0.772	0	4
407	both	detect	obscode	opus	3	YES	YES	YES	-	411818	0.6936	0	5
407	both	detect	neat	haiku	3	YES	YES	YES	-	308170	0.1073	5	0
407	both	detect	neat	haiku	4	YES	YES	YES	-	700015	0.1519	8	0
407	both	detect	obscode	opus	4	YES	YES	YES	-	368594	0.6736	0	3
407	both	detect	obscode	opus	5	YES	YES	YES	-	501856	0.819	0	7
407	both	detect	neat	haiku	5	YES	YES	YES	-	542803	0.1198	9	0
406	both	detect	obscode	opus	1	YES	YES	YES	-	405061	0.8102	0	5
406	both	detect	neat	haiku	1	YES	NO	NO	-	550163	0.1426	11	0
406	both	detect	neat	haiku	2	YES	NO	NO	-	1071685	0.2195	12	0
406	both	detect	obscode	opus	2	YES	YES	YES	-	242829	0.4875	0	6
406	both	detect	obscode	opus	3	YES	YES	YES	-	318570	0.5557	0	6
406	both	detect	neat	haiku	3	YES	NO	NO	-	778274	0.1627	15	0
406	both	detect	neat	haiku	4	YES	NO	NO	-	862650	0.1783	10	0
406	both	detect	obscode	opus	4	YES	YES	YES	-	237176	0.4513	0	5
406	both	detect	obscode	opus	5	YES	YES	YES	-	238735	0.4805	0	6
406	both	detect	neat	haiku	5	YES	NO	NO	-	325477	0.079	10	0
408	both	detect	obscode	opus	1	YES	YES	YES	-	498371	0.8364	0	6
408	both	detect	neat	haiku	1	YES	YES	YES	-	943701	0.1867	9	0
408	both	detect	neat	haiku	2	YES	YES	YES	-	1088195	0.2133	10	0
408	both	detect	obscode	opus	2	YES	YES	YES	-	482669	0.6941	0	6
408	both	detect	obscode	opus	3	YES	YES	YES	-	406101	0.6911	0	7
408	both	detect	neat	haiku	3	YES	YES	YES	-	238739	0.0628	8	0
408	both	detect	neat	haiku	4	YES	YES	YES	-	486036	0.1133	6	0
408	both	detect	obscode	opus	4	YES	YES	YES	-	421550	0.6888	0	7
408	both	detect	obscode	opus	5	NO	NO	NO	-	442107	0.6037	0	7
408	both	detect	neat	haiku	5	NO	NO	NO	-	0	0	0	0
20	strict-runtime	detect	obscode	opus	1	YES	YES	YES	-	289570	0.5753	0	6
20	strict-runtime	detect	neat	haiku	1	NO	NO	NO	-	1519118	0.2751	4	0
20	strict-runtime	detect	neat	haiku	2	NO	YES	NO	-	139325	0.0581	5	0
20	strict-runtime	detect	obscode	opus	2	YES	YES	YES	-	206487	0.4381	0	5
20	strict-runtime	detect	obscode	opus	3	YES	YES	YES	-	256782	0.4614	0	6
20	strict-runtime	detect	neat	haiku	3	NO	YES	NO	-	343818	0.0929	6	0
20	strict-runtime	detect	neat	haiku	4	YES	YES	YES	-	437281	0.1085	6	0
20	strict-runtime	detect	obscode	opus	4	YES	YES	YES	-	284140	0.5336	0	8
20	strict-runtime	detect	obscode	opus	5	YES	YES	YES	-	254421	0.5152	0	5
20	strict-runtime	detect	neat	haiku	5	NO	NO	NO	-	268071	0.0846	5	0
32	strict-runtime	detect	obscode	opus	1	YES	YES	YES	-	616559	1.0565	0	10
32	strict-runtime	detect	neat	haiku	1	YES	YES	YES	-	758566	0.1565	12	0
32	strict-runtime	detect	neat	haiku	2	NO	NO	NO	-	1493418	0.2833	14	0
32	strict-runtime	detect	obscode	opus	2	YES	YES	YES	-	288511	0.6753	0	6
32	strict-runtime	detect	obscode	opus	3	YES	YES	YES	-	222551	0.4829	0	8
32	strict-runtime	detect	neat	haiku	3	YES	NO	NO	-	936750	0.1997	14	0
32	strict-runtime	detect	neat	haiku	4	YES	YES	YES	-	895286	0.1952	16	0
32	strict-runtime	detect	obscode	opus	4	YES	YES	YES	-	388485	0.883	0	6
32	strict-runtime	detect	obscode	opus	5	YES	YES	YES	-	334666	0.7196	0	6
32	strict-runtime	detect	neat	haiku	5	YES	NO	NO	-	1434662	0.2815	25	0
415	both	detect	obscode	opus	1	YES	YES	YES	-	476315	0.8399	0	12
415	both	detect	neat	haiku	1	YES	YES	YES	-	254348	0.0858	3	0
415	both	detect	neat	haiku	2	YES	YES	YES	-	361033	0.1321	5	0
415	both	detect	obscode	opus	2	YES	YES	YES	-	390930	0.6002	0	7
415	both	detect	obscode	opus	3	YES	YES	YES	-	278578	0.5498	0	5
415	both	detect	neat	haiku	3	YES	YES	YES	-	137960	0.0682	4	0
415	both	detect	neat	haiku	4	YES	YES	YES	-	103714	0.0441	7	0
415	both	detect	obscode	opus	4	YES	YES	YES	-	358598	0.6193	0	6
415	both	detect	obscode	opus	5	YES	YES	YES	-	465711	0.6483	0	5
415	both	detect	neat	haiku	5	YES	YES	YES	-	78144	0.0408	4	0
416	both	detect	obscode	opus	1	YES	YES	YES	-	533960	0.9085	0	5
416	both	detect	neat	haiku	1	YES	NO	NO	-	1316464	0.2467	8	0
416	both	detect	neat	haiku	2	YES	NO	NO	-	152764	0.0479	5	0
416	both	detect	obscode	opus	2	NO	YES	NO	-	541093	0.8792	0	7
416	both	detect	obscode	opus	3	YES	YES	YES	-	332731	0.5657	0	4
416	both	detect	neat	haiku	3	YES	NO	NO	-	103380	0.0432	4	0
416	both	detect	neat	haiku	4	YES	YES	YES	-	1312896	0.2529	10	0
416	both	detect	obscode	opus	4	NO	YES	NO	-	501001	0.8208	0	6
416	both	detect	obscode	opus	5	YES	YES	YES	-	464633	0.8485	0	6
416	both	detect	neat	haiku	5	YES	YES	YES	-	795280	0.1539	12	0
414	strict-runtime	detect	obscode	opus	1	YES	YES	YES	-	345470	0.5638	0	6
414	strict-runtime	detect	neat	haiku	1	YES	NO	NO	-	1517882	0.2832	18	0
414	strict-runtime	detect	neat	haiku	2	YES	NO	NO	-	892160	0.193	17	0
414	strict-runtime	detect	obscode	opus	2	YES	YES	YES	-	233708	0.4055	0	7
414	strict-runtime	detect	obscode	opus	3	YES	YES	YES	-	269663	0.4532	0	7
414	strict-runtime	detect	neat	haiku	3	YES	NO	NO	-	814107	0.1972	11	0
414	strict-runtime	detect	neat	haiku	4	YES	NO	NO	-	386212	0.1074	8	0
414	strict-runtime	detect	obscode	opus	4	YES	YES	YES	-	253054	0.4311	0	10
414	strict-runtime	detect	obscode	opus	5	YES	YES	YES	-	226969	0.3922	0	8
414	strict-runtime	detect	neat	haiku	5	YES	NO	NO	-	906248	0.1747	15	0
409	both	detect	obscode	opus	1	YES	YES	YES	-	249823	0.4865	0	4
409	both	detect	neat	haiku	1	NO	NO	NO	-	1561779	0.3124	15	0
409	both	detect	neat	haiku	2	YES	NO	NO	-	1415931	0.2679	16	0
409	both	detect	obscode	opus	2	YES	YES	YES	-	215096	0.4325	0	4
409	both	detect	obscode	opus	3	YES	YES	YES	-	286225	0.5425	0	6
409	both	detect	neat	haiku	3	YES	NO	NO	-	264728	0.0689	6	0
409	both	detect	neat	haiku	4	YES	NO	NO	-	355689	0.0907	12	0
409	both	detect	obscode	opus	4	YES	YES	YES	-	251577	0.4886	0	6
409	both	detect	obscode	opus	5	YES	YES	YES	-	331034	0.6138	0	5
409	both	detect	neat	haiku	5	YES	NO	NO	-	388194	0.101	12	0
