scen	box	mode	arm	model	seed	rci	rcr	caught	resolved	tokens	cost_usd	neat_hits	obs_hits
401	fusion	resolve	obscode	opus	1	YES	YES	-	YES	146112	0.3964	0	1
401	fusion	resolve	neat	sonnet	1	YES	YES	-	YES	370578	0.1722	3	0
401	fusion	resolve	neat	sonnet	2	YES	YES	-	YES	215579	0.1367	3	0
401	fusion	resolve	obscode	opus	2	YES	YES	-	YES	204661	0.3783	0	2
401	fusion	resolve	obscode	opus	3	YES	YES	-	YES	207970	0.391	0	2
401	fusion	resolve	neat	sonnet	3	YES	YES	-	YES	366517	0.1775	3	0
401	fusion	resolve	neat	sonnet	4	YES	YES	-	YES	192998	0.1533	3	0
401	fusion	resolve	obscode	opus	4	YES	YES	-	YES	194764	0.3809	0	2
401	fusion	resolve	obscode	opus	5	YES	YES	-	YES	171581	0.3466	0	1
401	fusion	resolve	neat	sonnet	5	YES	YES	-	YES	211938	0.1342	4	0
413	fusion	detect	obscode	opus	1	YES	YES	YES	-	172492	0.4136	0	4
413	fusion	detect	neat	sonnet	1	YES	NO	NO	-	142777	0.1161	5	0
413	fusion	detect	neat	sonnet	2	YES	YES	YES	-	140803	0.1175	5	0
413	fusion	detect	obscode	opus	2	YES	YES	YES	-	136665	0.3513	0	2
413	fusion	detect	obscode	opus	3	YES	YES	YES	-	127605	0.2875	0	3
413	fusion	detect	neat	sonnet	3	YES	YES	YES	-	143235	0.1321	6	0
413	fusion	detect	neat	sonnet	4	YES	YES	YES	-	424830	0.2652	2	0
413	fusion	detect	obscode	opus	4	YES	YES	YES	-	133374	0.3173	0	5
413	fusion	detect	obscode	opus	5	YES	YES	YES	-	161004	0.3495	0	2
413	fusion	detect	neat	sonnet	5	YES	YES	YES	-	145502	0.1278	6	0
412	strict-code	resolve	obscode	opus	1	VOID	VOID	VOID	VOID	0	0	0	0
412	strict-code	resolve	obscode	opus	2	VOID	VOID	VOID	VOID	0	0	0	0
412	strict-code	resolve	obscode	opus	3	VOID	VOID	VOID	VOID	0	0	0	0
