scen	mode	arm	seed	rci	rcr	symptom_cleared	fix	resolved	edited	tokens	cost_usd	neat_hits	obs_hits
401	ERROR	code	1	YES	YES	YES	YES	YES	True	217765	0.3836	0	0
401	ERROR	obscode	1	YES	YES	YES	YES	YES	True	203254	0.3833	0	2
401	ERROR	neat	1	YES	YES	YES	YES	YES	True	182821	0.3358	4	0
401	ERROR	neat	2	YES	YES	YES	YES	YES	True	217753	0.3732	4	0
401	ERROR	obscode	2	YES	YES	YES	YES	YES	True	200889	0.3766	0	2
401	ERROR	code	2	YES	YES	YES	YES	YES	True	375416	0.5604	0	0
405	HANG	code	1	YES	YES	YES	YES	YES	True	214872	0.4183	0	0
405	HANG	obscode	1	YES	NO	YES	YES	NO	True	367721	0.7462	0	5
405	HANG	neat	1	YES	YES	YES	YES	YES	True	289785	0.5567	5	0
405	HANG	neat	2	YES	YES	YES	YES	YES	True	201260	0.4469	4	0
405	HANG	obscode	2	YES	NO	YES	YES	NO	True	315775	0.6588	0	4
405	HANG	code	2	YES	YES	YES	YES	YES	True	276535	0.3942	0	0
410	HANG	code	1	YES	YES	YES	YES	YES	True	224579	0.4147	0	0
410	HANG	obscode	1	YES	YES	YES	YES	YES	True	353530	0.6336	0	5
410	HANG	neat	1	YES	YES	YES	YES	YES	True	227119	0.4614	6	0
410	HANG	neat	2	YES	YES	YES	YES	YES	True	317281	0.6184	8	0
410	HANG	obscode	2	YES	YES	YES	YES	YES	True	336656	0.7134	0	5
410	HANG	code	2	YES	YES	YES	YES	YES	True	218187	0.4199	0	0
412	LATENCY	code	1	YES	NO	YES	YES	NO	True	336688	0.5378	0	0
412	LATENCY	obscode	1	YES	YES	YES	YES	YES	True	481264	0.8546	0	7
412	LATENCY	neat	1	YES	YES	YES	YES	YES	True	435923	0.8506	10	0
412	LATENCY	neat	2	YES	NO	NO	NO	NO	True	363741	0.7503	12	0
412	LATENCY	obscode	2	YES	YES	YES	YES	YES	True	366927	0.6759	0	6
412	LATENCY	code	2	YES	NO	NO	NO	NO	True	411466	0.7936	1	0
